Power,Frequency
43.0304439347,118.263881334
49.8839688682,172.611767745
11.0056915127,300.405801752
45.4346953411,162.840439682
45.5480620529,124.748591235
42.8251215259,65.1746156206
1.45794451175,346.974321845
14.2466115144,354.743014353
10.1937066053,311.72480229
33.7446087713,368.208575134
5.53251400176,311.516665919
9.95481495451,282.817200313
45.8282761684,143.48394546
11.7024400645,351.813608921
33.6003985466,461.401074668
10.7208607184,416.701284651
13.1415496727,296.352213266
45.9292074924,146.601558757
31.1369515815,524.420057093
46.7994077464,119.023890292
39.2910129841,402.566548431
16.2757773023,354.631821426
10.3853876439,329.114893056
30.6987239852,518.253250536
13.3523582218,427.921665166
14.2180378989,292.557625447
44.4912072147,112.706900379
34.4086750976,420.347123539
12.9983601123,280.359543447
34.4144398767,457.475017664
53.5143330382,192.747295596
10.817931463,295.134265231
9.15941173492,317.256343226
46.2934884006,100.691755403
50.3721303335,143.187470346
34.9468160506,540.500986264
45.9855164705,57.9426565612
28.4313498323,576.917502506
43.1141541891,539.497725184
47.1999719282,189.77500158
32.6565723602,574.8819804
16.5784854252,369.899455703
46.3784542707,411.990779688
41.246853845,446.82745308
39.8456548685,468.963794966
32.8969693752,393.064602628
13.7047483333,371.632553853
59.0492199678,136.653508411
37.191493372,470.019540244
16.6146721855,411.404611435
48.0001501226,163.458204808
42.5264083836,199.323630478
55.2250979368,35.2671147431
33.7910903171,461.241674445
51.2449609599,138.954910448
34.472538532,575.855335436
44.4039617544,574.173191546
49.1252570029,94.220611844
16.038888428,341.052858448
38.9427343488,424.725657308
37.6829186413,552.092408093
36.4466065265,499.908657842
32.5237720473,380.338909334
48.4624410309,122.799945137
14.199869431,249.301205583
35.0260666984,464.263595216
15.9337838849,344.701234891
36.8217896438,500.795326271
38.4538916565,545.698027579
47.9458279735,55.9306108777
44.1546532716,98.1167165661
8.63067826711,349.579173798
36.4704381633,446.204818427
53.0952222109,116.097075801
9.58079545428,329.951652605
40.0330976372,525.489066323
6.84075049134,336.895488336
47.0882723264,123.876822024
11.2804250968,345.485887603
42.6597042082,417.637441727
6.23194759065,380.036102195
47.5418179579,124.422006374
15.7879896112,392.260167572
29.5064128219,501.348317808
8.28573657381,350.61609617
34.7869330269,571.841919169
47.6742646563,146.812774409
37.8498314967,459.289685934
35.2231400388,487.1961812
10.552607195,305.301827841
43.9319555948,66.8767923037
44.3326207256,221.743905803
41.2200409557,221.672899975
41.9717630552,177.826271079
28.8117090506,502.517845521
16.2439399244,208.007271485
52.3035697548,154.627276753
40.163358416,398.530930529
34.4568140243,169.082342212
51.2103689697,173.503823177
51.5859911226,156.581006867
37.7374379139,498.286858725
1.84892672878,313.815494465
9.58663892795,230.716161858
34.8946058817,442.005992173
48.3114739054,406.660449015
21.9872432751,338.558454811
31.0970837599,576.559792027
44.7711050221,136.13800118
45.3543961443,169.784280911
32.6087150396,450.436249507
44.5654900866,118.902775277
6.65781754786,381.800618
5.26990159481,242.356991644
16.6461903044,203.804367774
31.9616240485,402.140177906
35.4049381248,482.186999856
47.667573145,157.723952772
12.1159884773,379.18334652
14.6475193247,362.740374017
9.41687636457,461.41091011
5.19133275464,302.70955672
50.9692475396,60.2351955621
20.5945658024,375.013281476
7.38714363799,319.572345084
37.7960682623,511.130304589
52.4119170849,155.764615184
51.6843150249,115.445411157
40.3241745705,499.751824557
38.5373274635,114.867665792
38.9732222971,161.313089084
13.7850848742,347.891316393
30.4984162368,492.731276212
40.0486901421,141.929465704
18.0553126887,344.03103145
41.7131428731,471.81087233
42.8565986413,470.382490954
8.01781408864,335.268761182
42.595880396,425.382157327
18.5266442493,296.667285206
9.59673213752,269.942920477
24.1977517063,512.059662517
13.8446220178,339.076112107
33.4898614868,471.897005728
47.0729267109,195.610934124
44.7660948695,126.870279507
46.7181568335,182.775311598
47.4445432039,133.401102179
41.2848817798,442.270481725
40.8216535415,520.553940443
34.6850382679,480.252690696
41.7098048201,483.756294814
46.5774109179,553.404472317
12.9063083535,251.710083348
8.63819503376,315.076527836
46.2076103691,54.9661756773
42.9028497472,495.225863341
40.6081535964,485.827878283
44.4906323024,119.218697234
47.6310445923,101.864820534
49.7479069425,0.136728172461
12.9274608523,338.258049085
52.0422948358,195.821459327
7.90282733008,284.872629917
7.20911741366,352.693383525
46.1982443558,143.636374307
48.2413000529,167.914049981
10.9164756639,335.294087168
16.6433004639,327.408488822
19.4976002806,368.444829344
59.2722587027,85.7655748577
39.5790840881,470.801416184
28.8932115477,468.741718734
17.4323815589,405.68932475
44.3134871592,78.0624958391
33.2389266752,438.056805812
25.4120801306,337.091992819
